"","RPY_3YR_RT","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT","NPT4_PUB","C100_4","PAR_ED_PCT_1STGEN","CDR3"
"449",0.5449957948,0.0774246129,NA,2700,0.48,NA,NA,NA,NA,NA,0.5115303983,0.121
"4889",0.4089440994,0.0815370778,0.45784939759036,6400,0.578,0.5455,NA,18048,NA,0,0.4972857507,0.188
"6669",0.8666666667,0.0846560847,NA,NA,NA,NA,NA,NA,NA,NA,0.3722397476,0.067
"5927",0.6576633166,0.1076923077,NA,3400,0.358,NA,NA,NA,NA,NA,0.435723115,0.096
"6066",0.5647482014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5645933014,0.087
"3464",0.1906779661,0.0210420842,NA,1600,0.173,NA,9222,5158,6468,NA,0.587863464,0.272
"3120",0.4945255474,0.0886426593,NA,NA,0.293,NA,NA,NA,NA,NA,0.5034129693,0.118
"6167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035
"7672",0.6347826087,0.0735930736,NA,NA,NA,NA,NA,NA,NA,NA,0.4820512821,0.2
"4978",0.4042553191,NA,NA,1900,0.48,NA,NA,NA,NA,NA,0.4380165289,0.267
"2686",0.5200945626,0.117746005,0.24808009188361,6100,0.483,0.2523,NA,22900,NA,0.1464,0.4015670911,0.197
"2055",0.7744646246,0.1597526411,0.4753873160832,10400,0.682,0.4972,NA,15580,NA,0.2917,0.3574647887,0.034
"7545",0.5628435876,0.0995554732,NA,NA,NA,NA,NA,NA,NA,NA,0.482039524,0.098
"4814",0.7445652174,0.1011235955,NA,4400,0.428,NA,NA,NA,NA,NA,0.4944751381,0.042
"1620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
"983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011
"3632",0.7728026534,0.1507311586,0.35099072847682,10000,0.633,0.3619,NA,22670,NA,0.2127,0.4532019704,0.107
"7019",NA,NA,NA,NA,NA,NA,NA,NA,6293,NA,0.7301587302,NA
"4547",NA,NA,NA,1600,0.278,NA,NA,NA,4205,NA,0.7647058824,NA
"7413",0.4138894061,0.1009533566,NA,NA,0.512,NA,NA,7932,NA,NA,0.5088692224,0.225
"5556",0.8090277778,0.1464285714,NA,5500,0.452,NA,NA,NA,NA,NA,0.35,0.088
"2708",NA,0.0737033667,NA,3700,0.369,NA,13017,8554,8253,NA,0.4545454545,0.307
"3275",0.9446366782,0.1875,0.74199171597633,13400,0.77,0.7544,NA,37470,NA,0.6987,0.2995780591,0.022
"1125",0.5449308756,NA,NA,4200,0.432,NA,9577,4650,6471,NA,0.4757281553,0.122
"100",0.5337078652,NA,NA,NA,0.299,NA,NA,NA,NA,NA,0.5154185022,NA
"5429",0.3514419852,0.0324650812,NA,4600,0.367,NA,NA,NA,NA,NA,0.6060762101,0.16
"783",NA,NA,NA,3700,0.478,NA,NA,NA,6575,NA,0.5907928389,NA
"3386",NA,NA,0.64516129032258,NA,NA,0.8333,NA,19500,NA,0.8333,NA,0.03
"4855",NA,0.0462627309,0.18507861111111,6300,0.432,0.1759,4062,4464,1158,0,0.6330254305,NA
"7522",0.5719217491,0.0853232382,NA,6200,0.563,NA,NA,3688,NA,NA,0.563012489,0.171
"3758",0.4295180723,0.0843833524,NA,3900,0.392,NA,9637,3420,6230,NA,0.578262889,0.211
"3672",0.6714697406,0.1095280499,NA,5000,0.452,NA,NA,NA,NA,NA,0.4372427984,0.079
"1315",0.6894409938,NA,NA,3500,0.4,NA,NA,NA,NA,NA,0.45,0.087
"5721",0.7755102041,NA,NA,NA,NA,NA,NA,15390,NA,NA,NA,0.116
"3440",0.9680729761,0.1547491996,0.6574,13700,0.789,0.6745,NA,35690,NA,0.6385,0.2006615215,0.022
"3874",0.9310344828,0.1111111111,0.58393288590604,2800,0.336,0.5904,NA,38110,NA,0.4699,NA,0.017
"1573",0.8153846154,0.1225806452,0.41978888888888,15600,0.735,0.4103,NA,22896,NA,0.2051,0.35,0.068
"1733",0.86,0.1448763251,0.73498114754098,13900,0.737,0.7811,NA,31188,NA,0.5274,0.4163319946,0.07
"4512",0.3583216292,0.0599093264,NA,3500,0.451,NA,NA,13500,NA,NA,0.6168505517,NA
"4354",0.372292941,0.0858097415,0.10391818181818,7600,0.611,0.15,NA,16360,NA,0.1176,0.4874431058,0.17
"584",0.8956043956,0.0631067961,NA,3800,0.565,NA,NA,NA,NA,NA,0.3659793814,0.01
"270",0.3689826303,0.0457113508,NA,3300,0.339,NA,NA,NA,NA,NA,0.6605664488,0.246
"4866",0.3347865034,0.0733325573,0.24502516556291,7900,0.659,0.3065,NA,18748,NA,0.1842,0.5099347495,0.132
"7029",NA,0.0956937799,NA,NA,NA,NA,NA,NA,NA,NA,0.5026737968,NA
"4527",0.5499432463,0.05907173,NA,4600,0.394,NA,NA,NA,NA,NA,0.6498316498,0.141
"4245",0.6774193548,NA,0.17758390041493,NA,NA,0.1797,9468,4041,6945,0.0256,0.2811111111,0.109
"3980",NA,NA,NA,NA,NA,NA,22244,NA,22295,NA,NA,NA
"7453",0.5796254195,0.138946281,NA,4900,0.515,NA,NA,NA,NA,NA,0.4429472477,0.109
"3840",0.5546875,0.1288088643,0.48836976744186,4700,0.48,0.4167,NA,13500,NA,0.5,0.4373040752,0.205
"5164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4549",0.5770132916,0.102970297,NA,3600,0.386,NA,NA,11700,NA,NA,0.5309236948,0.161
"1807",0.3721927317,0.0591993186,NA,4400,0.449,NA,8325,4252,3969,NA,0.5160706832,0.218
"1952",0.9115151515,0.1838509317,0.64595395480225,14800,0.779,0.6139,NA,32842,NA,0.5461,0.2748655914,0.035
"5513",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"3421",0.9036519037,0.1870286576,0.56828464800678,13100,0.723,0.5564,NA,31262,NA,0.4454,0.3804523425,0.04
"1324",0.9184845006,0.2081005587,0.66702182163187,13400,0.776,0.7104,NA,36120,NA,0.6477,0.1546391753,0.04
"5643",0.4545203508,0.0773824334,0.09678602150537,9000,0.639,0.0946,NA,11640,NA,0,0.5416670368,0.135
"794",NA,NA,NA,7700,0.462,NA,13015,NA,10729,NA,0.5290456432,0.135
"6531",0.3784599899,0.036944494,NA,3300,0.247,NA,NA,NA,NA,NA,0.6543949772,0.148
"4643",0.7714285714,0.0931034483,0.57897263157894,7400,0.705,0.6,NA,NA,NA,NA,0.4170212766,0.052
"4208",NA,NA,0.39061015625,NA,0.22,0.3692,5193,5408,1869,0.0154,0.1568627451,NA
"2483",0.4420836189,0.0927536232,NA,3700,0.55,NA,NA,8853,NA,NA,0.5313653137,0.247
"3422",0.8938271605,0.1651917404,0.49114201183431,9600,0.521,0.4138,NA,24380,NA,0.2874,0.4115755627,0.058
"3778",0.221717745,NA,NA,4900,0.261,NA,NA,NA,NA,NA,0.7063758389,0.4
"1366",0.823907455,0.2133333333,0.50001975806451,12700,0.704,0.4783,NA,24800,NA,0.313,0.3779816514,0.065
"3998",0.7933333333,0.0673913043,NA,9400,0.725,NA,NA,NA,NA,NA,0.4474327628,0.113
"569",0.5797027166,0.1236185018,NA,6100,0.559,NA,13973,10424,9486,NA,0.5340798442,0.164
"2096",0.8793814433,0.1347384268,0.70643608976329,15000,0.785,0.7155,NA,37966,NA,0.5819,0.225250501,0.043
"1605",0.4156305506,0.151616128,0.32881259204712,5600,0.549,0.321,19774,16862,15926,0.1182,0.3621288083,0.176
"2149",0.8362831858,0.1863905325,0.36953768115942,13600,0.802,0.2941,NA,6450,NA,0.1471,0.4494314782,0.054
"6751",0.3658732281,0.0231232182,NA,2400,0.218,NA,NA,NA,NA,NA,0.6382871537,0.25
"3366",0.9246575342,0.2067669173,NA,15000,0.805,NA,NA,16560,NA,NA,0.4634146341,0.044
"5882",0.2875831994,0.0486768134,NA,3000,0.308,NA,NA,NA,NA,NA,0.5607371192,0.179
"6639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3115",0.9415730337,0.1738396624,0.69267031578947,12500,0.783,0.7068,NA,37416,NA,0.6118,0.2911392405,0.036
"481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004
"5454",0.8858075041,0.1446700508,0.56602430086788,8000,0.642,0.6152,21973,17681,14586,0.2705,0.4991134752,0.041
"2544",NA,0.2444444444,NA,NA,NA,0.0909,NA,9500,NA,0,NA,NA
"4749",0.2394195889,0.0486526946,NA,2900,0.402,NA,NA,NA,NA,NA,0.6584038694,0.263
"6332",0.4603174603,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4901960784,0.109
"6448",0.4586824769,0.0731064995,NA,9600,0.697,NA,NA,12975,NA,NA,0.5214854804,0.116
"2947",0.5792682927,NA,NA,8700,0.623,NA,NA,NA,13506,NA,0.578125,0.156
"2865",0.8346153846,0.1775362319,0.624989,5900,0.52,0.6505,NA,37565,NA,0.6117,0.2310606061,0.118
"6741",0.499826087,0.0798838054,NA,4300,0.432,NA,NA,NA,NA,NA,0.6284544524,NA
"4850",NA,NA,NA,2700,0.114,NA,NA,NA,NA,NA,0.5988700565,NA
"5578",0.7028985507,NA,NA,5300,0.277,NA,NA,NA,NA,NA,NA,0.122
"4555",0.4477344992,0.0614472123,NA,4400,0.46,NA,NA,13290,NA,NA,0.5546852335,0.103
"6795",0.7008032129,0.1040955631,NA,3100,0.297,NA,NA,NA,NA,NA,0.5019920319,0.06
"2210",0.7134502924,0.1151832461,NA,3800,0.34,NA,NA,NA,NA,NA,0.3797468354,0.141
"1439",0.7171717172,0.1607717042,0.48844158415841,6900,0.563,0.4333,NA,22300,NA,0.2417,0.513562387,0.099
"6667",NA,0.0882352941,NA,NA,NA,NA,NA,NA,NA,NA,0.4916666667,0.285
"7671",0.7410071942,0.1507936508,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057
"6595",0.2990110308,0.0424497197,NA,4200,0.366,NA,NA,13932,NA,NA,0.5394716354,0.16
"1423",0.4403242497,0.0782042941,NA,4200,0.448,NA,10474,12536,6652,NA,0.5033123028,0.251
"5699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033
"5446",NA,NA,NA,NA,0.098,NA,NA,NA,NA,NA,0.5660377358,0.166
"7093",NA,NA,NA,NA,NA,NA,NA,NA,3443,NA,0.4574132492,NA
