"","RPY_3YR_RT","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT","NPT4_PUB","C100_4","PAR_ED_PCT_1STGEN","CDR3"
"66",0.7941176471,0.1330049261,NA,2500,0.533,NA,NA,NA,NA,NA,0.4712643678,0.134
"67",0.4977876106,0.0872050147,0.40014833555259,5200,0.586,0.4582,NA,19532,NA,0.2364,0.5474525475,0.133
"68",0.5964912281,0.0873533246,NA,4600,0.535,NA,NA,NA,NA,NA,0.4618834081,0.208
"69",0.2705751288,0.0263465066,0.3078774644175,3800,0.443,0.3032,NA,12204,NA,0.1379,0.6098685727,NA
"70",0.3467060811,0.0787037037,0.40493028169014,3600,0.4,0.4305,NA,NA,NA,0.3608,0.4302325581,0.237
"71",0.4938053097,0.0593824228,NA,NA,NA,NA,NA,NA,NA,NA,0.4900793651,0.098
"72",0.3940455342,0.0646733832,NA,2900,0.325,NA,NA,NA,NA,NA,0.5735110371,0.11
"73",NA,NA,NA,6700,0.933,NA,NA,NA,NA,NA,NA,NA
"74",0.2954545455,NA,0.38777346938775,NA,NA,0.1765,NA,11700,NA,0,0.5471698113,0.306
"75",0.5480588014,0.0828323313,NA,3700,0.546,NA,NA,NA,NA,NA,0.5967578521,0.086
"76",0.5045978689,0.0744742427,NA,4100,0.457,NA,NA,NA,NA,NA,0.5595880333,0.175
"77",0.5045978689,0.0744742427,NA,4100,0.457,NA,NA,NA,NA,NA,0.5595880333,0.175
"78",0.5045978689,0.0744742427,NA,4100,0.457,NA,NA,NA,NA,NA,0.5595880333,0.175
"79",0.1836195509,0.0492898914,0.4651203488372,2600,0.303,0.4641,NA,16968,NA,0.2667,0.5787631272,0.265
"80",0.4056603774,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5416666667,0.078
"81",0.159643436,0.0632411067,NA,4700,0.418,NA,NA,NA,NA,NA,0.5511302476,NA
"82",0.25297442,0.0533001933,0.46892111801242,2400,0.331,0.4705,NA,NA,NA,0.2157,0.5560058954,0.12
"83",0.8163693599,0.1459797818,0.61370382890897,10400,0.716,0.6343,14972,24503,10858,0.428,0.3804779412,0.073
"84",0.4806629834,0.1055374593,NA,4100,0.392,NA,11461,8085,8978,NA,0.6340757883,0.27
"85",0.8531167901,0.1408362989,0.60820502308549,9200,0.675,0.6026,20598,29421,15215,0.4006,0.3209733488,0.06
"86",0.4941176471,NA,0.9156734939759,4400,0.431,0.9623,NA,23069,NA,0.1321,NA,0.198
"87",0.4485094851,0.1135416667,NA,4600,0.479,NA,5665,10440,5211,NA,0.4888469997,0.244
"88",0.3354708684,0.060199005,0.27816291390728,4800,0.562,0.3158,NA,13203,NA,0.1,0.5100738751,0.181
"89",0.488372093,NA,NA,NA,0.28,NA,NA,NA,NA,NA,0.5662650602,0.192
"90",0.6151515152,0.0878201777,NA,4300,0.412,NA,7595,6000,5572,NA,0.5200501253,0.096
"91",0.6421232877,0.072300183,NA,2500,0.308,NA,NA,NA,NA,NA,0.5195702226,0.093
"92",0.6421232877,0.072300183,NA,2500,0.308,NA,NA,NA,NA,NA,0.5195702226,0.093
"93",0.7025495751,0.0838323353,NA,6800,0.391,NA,NA,NA,NA,NA,0.495,0.091
"94",0.5229885057,0.1060735672,NA,2800,0.275,NA,NA,NA,NA,NA,0.4927835052,0.185
"95",NA,0.08815427,NA,3800,0.429,NA,2365,9200,6611,NA,0.4300899428,NA
"96",0.8849226161,0.1538461538,0.58772282208588,13300,0.789,0.5841,NA,31648,NA,0.3462,0.3637071651,0.034
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"98",0.5092756184,0.0924018358,NA,6500,0.562,NA,11478,7830,7600,NA,0.5570452495,0.22
"99",0.4894776152,0.1320289378,0.2888274368231,10000,0.655,0.2788,NA,17050,NA,0.1818,0.4857530968,0.103
"100",0.5337078652,NA,NA,NA,0.299,NA,NA,NA,NA,NA,0.5154185022,NA
"101",0.5530846485,0.0848017621,NA,5200,0.599,NA,12248,7830,8019,NA,0.5540730337,0.182
"102",0.5074978312,0.0965431627,NA,5100,0.551,NA,12074,7830,8494,NA,0.4713740458,0.229
"103",0.4089440994,0.0815370778,0.26052605042016,6400,0.578,0.2969,NA,18048,NA,NA,0.4972857507,0.188
"104",0.4089440994,0.0815370778,0.27545029940119,6400,0.578,0.3038,NA,18048,NA,0.1429,0.4972857507,0.188
"105",0.4505102041,0.0873342478,NA,2900,0.41,NA,11971,6888,8018,NA,0.5534832693,0.229
"106",0.5666079073,0.1131297513,NA,7600,0.629,NA,NA,NA,NA,NA,0.5212620027,0.189
"107",NA,NA,0.09284142857142,2500,0.282,0.1487,NA,725,8153,NA,0.4753289474,NA
"108",0.7764237752,0.155048693,0.50474960835509,9500,0.654,0.5157,17455,22510,13683,0.3319,0.3840232798,0.073
"109",NA,NA,NA,3000,0.356,NA,NA,7640,8943,NA,0.46875,NA
"110",0.7509140768,0.1578947368,NA,11000,0.725,NA,NA,11670,NA,NA,0.4381948986,0.076
"111",0.4354790863,0.0683307767,NA,5100,0.512,NA,11237,7830,7937,NA,0.5942028986,0.248
"112",0.6805555556,NA,NA,4700,0.441,NA,NA,NA,NA,NA,0.4246575342,0.168
"113",0.5073987539,0.0850978825,NA,4900,0.472,NA,7092,8048,2987,NA,0.4882584337,0.213
"114",0.6459455416,0.0986489385,0.6418994011976,4600,0.501,0.6602,NA,NA,NA,NA,0.5067976493,0.095
"115",0.6459455416,0.0986489385,NA,4600,0.501,NA,NA,NA,NA,NA,0.5067976493,0.095
"116",0.8123827392,0.1255411255,0.36074620253164,5100,0.557,0.3483,NA,26415,NA,0.1685,0.2626728111,0.07
