"","x"
"1083",0.6187311178
"407",0.4708994709
"1506",0.7361673414
"2300",0.890524379
"1812",0.9422492401
"3437",0.8795083619
"5858",0.8163693599
"3195",0.833677686
"2233",0.5990873533
"692",0.5624344176
"2131",0.7655468192
"1586",0.6797202797
"5946",0.4089440994
"2552",0.7430555556
"2767",0.282844734
"671",0.5438117968
"4144",0.8553191489
"5626",0.4066697545
"411",0.8409893993
"4389",0.4666895604
"4138",0.6848685889
"1404",0.7307692308
"2597",0.7939914163
"5823",0.6767263427
"3706",0.7621283255
"868",0.3995203837
"2095",0.3881970763
"1944",0.9849435383
"3619",0.8710601719
"4193",0.5901162791
"2710",0.8413855971
"2990",0.4339045288
"83",0.8163693599
"6449",0.4586824769
"3920",0.9193766938
"3317",0.875672541
"513",0.6088328076
"3714",0.3227722772
"3288",0.8962765957
"5474",0.9249011858
"3063",0.8692270297
"3016",0.8340740741
"193",0.5798368298
"1833",0.5982721382
"2328",0.4246575342
"3019",0.8670936749
"360",0.4089440994
"5237",0.4545203508
"354",0.5012531328
"2075",0.8972394664
"298",0.7513888889
"2429",0.6973947896
"4243",0.652173913
"845",0.2170151107
"894",0.6582747131
"3022",0.6153846154
"3114",0.9635036496
"1099",0.8723684211
"1431",0.8043478261
"3922",0.8874755382
"6075",0.3354708684
"4913",0.6875739645
"116",0.8123827392
"2969",0.7179395329
"1445",0.2529680365
"3270",0.8770301624
"4292",0.6586768936
"1229",0.7456647399
"3579",0.8139671362
"4320",0.4576654115
"238",0.8879071608
"5142",0.8
"1886",0.6861564918
"2335",0.6921062966
"219",0.6274509804
"2438",0.6723716381
"2669",0.5192307692
"2460",0.6447811448
"2644",0.8731966591
"3764",0.4975704568
"1672",0.6514047867
"247",0.934856176
"2524",0.9153846154
"4810",0.4020618557
"3962",0.5647118947
"525",0.8968804159
"3470",0.5556228793
"924",0.7794245859
"1638",0.6214574899
"3362",0.7767503303
"3252",0.8748850046
"4906",0.4089440994
"1492",0.6818580193
"248",0.8712280702
"1786",0.5796254195
"2720",0.1943734015
"3351",0.9073179792
"4314",0.3785754347
"2880",0.5647058824
"3345",0.9267399267
"3104",0.876905041
"6446",0.4586824769
"2254",0.924137931
"9",0.6377086495
"586",0.4337342956
"90",0.6151515152
"812",0.5788849348
"4041",0.5155057252
"1856",0.8205307263
"1280",0.5162612736
"422",0.7088888889
"408",0.7972027972
"4719",0.5052491498
"122",0.3654096229
"3002",0.4113149847
"1070",0.7637006482
"2207",0.613469291
"6058",0.5585430671
"4909",0.8268110759
"1958",0.8473053892
"2902",0.9183346677
"1841",0.77429033
"3131",0.8727176033
"2111",0.7761976048
"1407",0.9431137725
"2780",0.9622871046
"2811",0.8300653595
"4530",0.3184844384
"5114",0.4089440994
"1202",0.9074265619
"4336",0.4576654115
"1771",0.5274617384
"5963",0.3347865034
"1267",0.5525641026
"3298",0.8802083333
"67",0.4977876106
"2431",0.7666829031
"1615",0.9590443686
"2417",0.9691525424
"448",0.8144989339
"1075",0.9177570093
"3544",0.8104712042
"4167",0.8359139157
"901",0.6771084337
"1781",0.4168842472
"262",0.6164383562
"3379",0.9395807645
"1983",0.3708316593
"39",0.51934052
"1167",0.8754416961
