"","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT"
"5966",0.1150308408,0.21430857142857,7200,0.544,0.2344,13560.7976040353,10764
"3830",0.1624441133,0.32658693693693,10800,0.718,0.3198,13560.7976040353,12960
"2355",0.0706766917,0.14397237354085,4300,0.369,0.2375,13560.7976040353,11120
"4892",0.0815370778,0.26395204460966,6400,0.578,0.2568,13560.7976040353,18048
"1674",0.1542527631,0.5097866092404,10400,0.737,0.514,20733,14400
"5765",0.0929152149,0.50830833333333,4700,0.428,0.5932,13560.7976040353,15164
"3084",0.1213658295,6399.64135021097,5600,0.547,0.479596262833676,9855,7610
"206",0.0635670568,6399.64135021097,3300,0.428,0.479596262833676,10596,7272
"2391",0.0558375635,0.29761666666666,3300,0.399,0.3143,13560.7976040353,16419
"135",0.199488491,0.49387714285714,9200,0.586,0.4902,13560.7976040353,24300
"1027",0.1438021736,0.70842921437031,10000,0.727,0.7121,13560.7976040353,35071
"489",0.1269688203,0.66084757545769,10200,0.681,0.6599,19850,18026
"3300",0.1402714932,0.57564487804878,5400,0.469,0.5755,13560.7976040353,35410
"3839",0.1661931818,0.51074797136038,3800,0.562,0.5484,13560.7976040353,4940
"2795",0.183074266,0.37329555555555,8900,0.735,0.3531,12263,8495
"11",0.1824817518,0.6307127919911,6300,0.568,0.6422,13560.7976040353,31708
"2785",0.1135473767,6399.64135021097,4100,0.417,0.479596262833676,11867,8561
"888",0.1375757576,0.16385909090909,4600,0.461,0.1547,14186,12566
"1273",0.169991327,0.47082490272373,12600,0.727,0.4665,13560.7976040353,23426
"1058",0.0733325573,6399.64135021097,7900,0.659,0.4667,13560.7976040353,13663
"472",0.149817296,0.70878881298035,11000,0.72,0.6871,13560.7976040353,43186
"244",0.1443223443,0.90859259041112,9200,0.733,0.9069,25661,35850
"576",0.1438804111,0.69756551845652,9300,0.667,0.6982,26706,33151
"3859",0.1754958878,0.50439331295376,5400,0.622,0.4977,13857,18250
"3365",0.0988117573,6399.64135021097,4800,0.496,0.479596262833676,13793,12030
"6704",0.0674835571,0.63934426229508,3500,0.498,0.7159,13560.7976040353,16968
"462",0.1612903226,0.8307280155642,5900,0.559,0.8397,13560.7976040353,47020
"483",0.0943126608,6399.64135021097,4500,0.488,0.479596262833676,14194,5702
"1098",0.1807116105,0.60582367049009,10900,0.694,0.6136,13560.7976040353,29620
"3564",0.1698412698,0.5240411392405,8600,0.639,0.516,13560.7976040353,20468
"3704",0.144080256,0.47833157273532,10800,0.73,0.4811,19430,19693
"627",0.1011904762,6399.64135021097,3700,0.428,0.479596262833676,14911,7127
"5850",0.0839954597,0.41251340996168,3200,0.323,0.3928,13560.7976040353,16968
"1992",0.0578512397,0.27819570354457,4300,0.351,0.2982,836,5916
