"","CDR3","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4","MN_EARN_WNE_INC1_P6","C150_4_WHITE","PCT25_EARN_WNE_P6","NPT4_75UP_PUB","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP"
"2975",0.045,0.2048364154,32300,41300,0.1723202171,NA,0.619,0.6011,29500,0.6588,19900,NA,0.643627860262,0.6530936851211
"5928",0.125,0.5205479452,NA,NA,0.1092436975,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7324",0.242,0.5654697135,18300,26200,0.0642784553,NA,0.267,NA,17900,NA,7800,NA,NA,NA
"3314",0.057,0.3053052326,40900,54600,0.1578042283,NA,0.718,NA,36000,NA,23100,NA,NA,NA
"5431",0.088,0.4945054945,28900,37800,0.0775862069,NA,0.48,NA,20400,NA,11400,NA,NA,NA
"3049",0.171,0.4621212121,31000,NA,0.1623376623,NA,0.6,0.25,NA,0.42,NA,NA,0.4248156862745,0.25578837209302
"2480",0.155,0.4636118598,25700,33600,0.1398188263,6074,0.435,NA,23500,NA,12000,9527,NA,NA
"5769",0.263,0.6718680339,18000,24000,0.0268997983,NA,0.221,NA,17700,NA,10100,NA,NA,NA
"1545",0.19,0.5022376927,23600,32800,0.1219954649,10864,0.428,0.0173,19900,0.1145,11600,14449,0.12403981623277,0.17647794117647
"5417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"927",NA,0.553997195,20500,27600,NA,2814,0.318,NA,19400,NA,10000,NA,NA,NA
"1870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1092",0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1825",0.064,0.3996598639,29200,37800,0.1606864275,NA,0.541,0.2476,25600,0.4762,15000,NA,0.4384448275862,0.3992209486166
"449",0.121,0.5115303983,25500,34400,0.0774246129,NA,0.48,NA,22300,NA,12400,NA,NA,NA
"4889",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,0,27500,0.5556,15200,NA,0.45784939759036,0.1649649484536
"6669",0.067,0.3722397476,NA,NA,0.0846560847,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5927",0.096,0.435723115,22200,31100,0.1076923077,NA,0.358,NA,20500,NA,9000,NA,NA,NA
"6066",0.087,0.5645933014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3464",0.272,0.587863464,14700,21000,0.0210420842,6468,0.173,NA,13900,NA,5700,9222,NA,NA
"3120",0.118,0.5034129693,18200,NA,0.0886426593,NA,0.293,NA,NA,NA,NA,NA,NA,NA
"6167",0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7672",0.2,0.4820512821,NA,NA,0.0735930736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4978",0.267,0.4380165289,23500,31900,NA,NA,0.48,NA,21800,NA,12400,NA,NA,NA
"2686",0.197,0.4015670911,25300,33000,0.117746005,NA,0.483,0.1464,22600,0.3217,14600,NA,0.24808009188361,0.26759859154929
"2055",0.034,0.3574647887,36200,46300,0.1597526411,NA,0.682,0.2917,30700,0.5616,21800,NA,0.4753873160832,0.43619614243323
"7545",0.098,0.482039524,NA,NA,0.0995554732,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4814",0.042,0.4944751381,24900,32500,0.1011235955,NA,0.428,NA,20500,NA,10800,NA,NA,NA
"1620",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"983",0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3632",0.107,0.4532019704,32700,41000,0.1507311586,NA,0.633,0.2127,25800,0.41,18800,NA,0.35099072847682,0.33758321167883
"7019",NA,0.7301587302,NA,NA,NA,6293,NA,NA,NA,NA,NA,NA,NA,NA
"4547",NA,0.7647058824,19200,NA,NA,4205,0.278,NA,NA,NA,NA,NA,NA,NA
