"","CDR3","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4","MN_EARN_WNE_INC1_P6","C150_4_WHITE","PCT25_EARN_WNE_P6","NPT4_75UP_PUB","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP"
"7565",0.137,0.5565217391,26400,NA,0.0660792952,NA,0.459,NA,NA,NA,NA,NA,NA,NA
"4751",NA,0.6168505517,26300,36000,0.0599093264,NA,0.451,NA,23400,NA,11300,NA,NA,NA
"5373",0.153,0.3720848057,27100,36300,0.0988575781,NA,0.468,0.2095,24900,0.3,12600,NA,0.25582587719298,0.25180431654676
"2977",0.269,0.4855706572,27600,37400,0.1145627876,7395,0.506,NA,24200,NA,14000,10489,NA,NA
"6789",0.12,0.4845212383,24900,34300,0.0738295318,NA,0.437,NA,23000,NA,15100,NA,NA,NA
"328",0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7138",NA,0.3770491803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3806",0.032,0.1844311377,45100,56500,0.1460101868,NA,0.78,0.5867,46000,0.78,27100,NA,0.75726092937939,0.7537458346142
"3970",0.024,0.1596958175,45300,53700,0.1431226766,17296,0.755,0.5371,44800,0.7102,25300,21823,0.73404419475655,0.709328
"7235",0.135,0.5416670368,NA,NA,0.0773824334,NA,NA,0.0075,NA,0.1571,NA,NA,0.1781,0.1874
"1334",0.071,0.3455657492,33900,42800,0.2222222222,NA,0.642,0.4237,NA,0.6304,20800,NA,0.55312300884955,0.560004
"3056",0.189,0.458249497,28900,39000,0.1519213584,6223,0.509,NA,25400,NA,13800,9581,NA,NA
"4556",0.092,0.5738443158,18200,25500,0.0476985625,NA,0.261,0.6,17200,0.4595,9200,NA,0.44791788194444,0.60002
"5876",0.141,0.5118692592,20300,27900,0.0624194987,NA,0.322,NA,17300,NA,10400,NA,NA,NA
"2049",0.102,0.2222222222,23100,31600,0.1486068111,NA,0.385,0.413,24300,0.54,10700,NA,0.55515448275862,0.64287272727272
"5122",0.105,0.536988359,18100,26900,0.0656550919,NA,0.285,NA,16200,NA,7300,NA,NA,NA
"827",0.188,0.4448662925,28300,37500,0.1060321134,9982,0.519,NA,25800,0.614,15200,12057,0.53220701516793,NA
"1521",0.092,0.5738443158,18500,25800,0.0476985625,NA,0.269,NA,17100,NA,9500,NA,NA,NA
"6770",0.104,0.6766420521,28700,39900,0.0470829069,NA,0.498,NA,21700,NA,11400,NA,NA,NA
"259",0.038,0.2549019608,71900,105000,0.0943877551,15472,0.858,0.4183,72900,0.6154,36500,20172,0.5649448051948,0.62199896907216
"1319",0.052,0.4251207729,18100,23800,0.1371681416,NA,0.22,NA,17900,NA,9900,NA,NA,NA
"5951",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,NA,27500,0.5385,15200,NA,0.4574,NA
"1558",0.154,0.4119883041,28800,38800,0.1320854205,11232,0.538,NA,26100,NA,15500,14777,NA,NA
"2851",0.081,0.5899280576,34700,NA,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA
"5598",0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4078",0.109,NA,19300,28600,0.19,NA,0.301,NA,NA,NA,7400,NA,NA,NA
"6876",NA,0.6333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528",0.095,0.4139784946,25500,NA,0.0973451327,NA,0.453,NA,NA,NA,NA,NA,NA,NA
"6078",0.305,0.4386288242,28400,36600,0.0896510229,NA,0.531,NA,26000,NA,15300,NA,NA,NA
"4763",0.177,0.5449016627,35400,47400,0.0592234885,NA,0.565,0.125,25000,0.2742,14400,NA,0.26037278106508,0.20003
"3339",0.028,NA,17000,NA,NA,NA,0.225,0.5556,NA,0.5882,NA,NA,0.6250328125,0.68494109589041
"234",0.032,0.4800781837,38200,52100,0.1385632327,11085,0.67,0.1178,37500,0.6059,20300,18092,0.54079909274193,0.59452200096354
"3697",0.235,0.5453597497,27200,36400,0.1008134805,7229,0.463,NA,24300,NA,11700,11827,NA,NA
"5845",0.185,0.572325208,20900,29100,0.0333333333,NA,0.345,NA,18900,NA,9200,NA,NA,NA
"7386",0.132,0.4770592608,30500,41000,0.0880148758,NA,0.549,NA,26300,NA,15200,NA,NA,NA
"4043",0.246,0.5982142857,15700,NA,NA,NA,0.159,NA,NA,NA,NA,NA,NA,NA
"993",0.127,0.4554591138,26400,35700,0.104876161,6028,0.472,NA,24700,NA,13300,9981,NA,NA
"1088",0.246,0.6605664488,22100,30700,0.0457113508,NA,0.339,NA,20500,NA,9600,NA,NA,NA
"5866",0.123,0.5921192758,21900,30000,0.0221674877,NA,0.383,NA,21400,NA,9900,NA,NA,NA
"6875",NA,0.7368421053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3118",0.033,0.4087837838,37100,49400,0.1246105919,NA,0.659,0.0769,28400,0.3,17300,NA,0.25641794871794,NA
"368",0.132,0.5099347495,35400,47400,0.0733325573,NA,0.659,0.4696,30800,0.4912,20000,NA,0.45395288611544,0.46054882729211
"1621",NA,0.7573529412,12200,NA,NA,NA,0.099,NA,NA,NA,NA,NA,NA,NA
"6485",0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1647",0.006,0.1357533565,64800,74500,0.1373679155,NA,0.889,0.8809,72600,0.931,39000,NA,0.91304978041282,0.91882473118279
"246",0.023,0.4675324675,39600,52900,0.1662134602,12771,0.684,0.6821,40200,0.8544,20500,24010,0.86157980586621,0.86389076872536
"4073",NA,NA,NA,NA,NA,1575,NA,NA,NA,NA,NA,NA,NA,NA
"2627",0.01,NA,56500,72700,NA,NA,0.868,NA,NA,NA,40800,NA,NA,NA
"4291",0.034,0.4664804469,33800,48200,0.0849056604,NA,0.607,NA,30900,NA,14900,NA,NA,NA
"3589",0.098,0.3970091655,32100,42400,0.1369803695,12661,0.584,0.1511,29600,0.512,17100,16699,0.43601093167701,0.45496622516556
"2572",0.092,0.4085106383,35800,48500,0.1347011597,NA,0.611,0.2827,34100,0.64,17000,NA,0.5354295019157,0.52839205366357
"5333",0.075,0.5208791209,18600,26000,0.0571923744,NA,0.276,NA,17600,NA,7600,NA,NA,NA
"1637",0.064,0.5140086207,36800,47500,0.1590909091,NA,0.699,0.4713,29300,0.6667,21900,NA,0.59252225201072,0.59684761904761
"5442",NA,0.5192307692,17000,22800,NA,NA,0.205,NA,NA,NA,7500,NA,NA,NA
"4478",0.275,NA,18200,NA,NA,NA,0.214,NA,NA,NA,NA,NA,NA,NA
"1231",0.094,0.4596182085,31300,42100,0.159410802,12009,0.534,0.0943,27100,0.3631,14900,15793,0.31359856144677,0.33474216281895
"503",0.129,0.6630901288,25200,33600,0.0735294118,NA,0.433,NA,22700,0.5094,11500,NA,0.60137989778534,NA
"1195",0.171,0.5737942455,22900,31100,0.0610855879,NA,0.404,0,19600,0.5714,11500,NA,0.38209541484716,NA
"7229",0.225,0.6119402985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2500",0.048,0.4691358025,NA,NA,0.123655914,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3774",0.051,0.4428251121,35100,45800,0.1323232323,NA,0.665,0.443,34300,0.6552,20600,NA,0.58726636363636,0.68139846449136
"2255",0.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834",0.2,0.5791469194,26600,36100,0.0830271859,5267,0.475,NA,24700,0.4132,13700,9939,0.42605900439238,NA
"1867",0.207,0.5580310881,22700,31600,0.0316254554,5729,0.367,NA,20600,NA,10000,8525,NA,NA
"7688",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,NA,21400,NA,NA,NA
"6216",0.132,0.4673267327,NA,NA,0.074433657,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",NA,0.4631578947,23400,37100,NA,12649,0.414,NA,NA,NA,8900,NA,NA,NA
"1667",0.011,0.1246312684,33900,46200,0.1194029851,NA,0.634,0.7746,31300,0.7786,18300,NA,0.80604250309789,0.81566486486486
"4779",0.19,0.5620485883,24600,34200,0.032345345,NA,0.416,NA,21500,NA,10700,NA,NA,NA
"6923",0.098,0.4900793651,NA,NA,0.0593824228,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7503",0.051,0.5626506024,56900,89100,0.1518026565,NA,0.73,NA,28200,NA,23000,NA,NA,NA
"638",0.043,0.4776119403,43300,56600,0.1726862302,NA,0.764,NA,32400,NA,26300,NA,NA,NA
"3818",0.021,0.1875,46200,60100,0.1544554455,NA,0.786,0.7206,NA,0.8259,27600,NA,0.81416267496111,0.80171739130434
"3785",0.111,0.3787809349,33900,43800,0.1552795031,19556,0.66,0.2379,32100,0.4894,20600,22443,0.43452055602358,0.45668637640449
"4259",NA,0.4264069264,17500,NA,NA,1507,0.23,NA,NA,NA,NA,5581,NA,NA
"3299",0.127,0.4704720521,30600,41600,0.1297970322,8707,0.559,NA,28000,NA,15100,11652,NA,NA
"2151",0.022,0.36,44700,52600,0.2234848485,NA,0.909,0.04,NA,0.8333,37900,NA,0.73530588235294,NA
"383",0.229,0.5508091833,27400,37200,0.0727040816,7591,0.473,NA,27100,NA,11400,11003,NA,NA
"6176",0.233,0.4597658428,NA,NA,0.1183918962,7304,NA,NA,NA,NA,NA,10901,NA,NA
"6249",0.11,0.5735110371,18800,25200,0.0646733832,NA,0.25,NA,16300,NA,10400,NA,NA,NA
"169",0.183,0.5,15100,NA,NA,NA,0.132,NA,NA,NA,NA,NA,NA,NA
"502",0.101,0.5222465354,32300,42600,0.0910151692,2177,0.547,NA,30700,NA,13200,5575,NA,NA
"5684",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713",NA,0.5555555556,26800,37900,NA,9617,0.47,NA,NA,NA,12500,NA,NA,NA
"530",0.136,0.5691489362,29200,40300,0.100877193,NA,0.566,NA,23200,NA,13700,NA,NA,NA
"1339",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2718",0.081,0.2959770115,31400,39900,0.187416332,NA,0.626,0.4058,28300,0.5985,19300,NA,0.51401109550561,0.48441991084695
"663",0.147,0.5795454545,33900,48200,0.0559183673,NA,0.62,NA,29800,NA,16100,NA,NA,NA
"2312",0.041,0.4138863841,34900,47300,0.1554505006,20433,0.656,0.506,33100,0.6755,20200,24135,0.66214847001224,0.671283
"7681",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,NA,21400,NA,NA,NA
"1903",0.245,0.3587081892,30700,42400,0.1316582915,10014,0.518,NA,27000,NA,14500,13801,NA,NA
"1314",0.156,0.4558823529,19600,NA,NA,NA,0.271,NA,NA,NA,NA,NA,NA,NA
"6436",0.228,0.4867008866,27000,36300,0.1227068895,NA,0.536,NA,24100,NA,14800,NA,NA,NA
"7372",0.11,0.6112054329,22300,30700,0.0462351387,NA,0.373,NA,19400,NA,12300,NA,NA,NA
"4918",0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1677",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2048",0.008,0.3280141844,50500,59900,0.141903172,NA,0.875,NA,49800,NA,38200,NA,NA,NA
"6983",0.05,0.7044609665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6205",0.199,0.5370666667,22000,30400,0.0346729708,NA,0.366,NA,19000,NA,10100,NA,NA,NA
"6056",0.213,0.5538171691,23000,31600,0.0558375635,NA,0.399,0,19400,0.2727,10300,NA,0.27475164835164,NA
"133",0.146,0.4819277108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1663",0.154,0.2946979038,26300,36700,0.1504424779,NA,0.499,0.4318,23800,0.461,13100,NA,0.43154900849858,0.54650232558139
"2985",0.127,0.5675675676,17500,NA,0.0829875519,NA,0.253,NA,NA,NA,NA,NA,NA,NA
"5130",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,NA,27500,NA,15200,NA,NA,NA
"4579",NA,0.525,18400,NA,NA,NA,0.146,0,NA,0.6667,NA,NA,0.5526447368421,0.62931120689655
"7070",0.187,0.5413161801,NA,NA,0.084214981,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4926",0.156,0.4117647059,NA,NA,0.1165644172,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7438",0.137,0.4271725826,27100,33100,0.1511627907,NA,0.441,NA,23100,NA,11900,NA,NA,NA
"5404",NA,0.5434782609,NA,NA,NA,6490,NA,NA,NA,NA,NA,NA,NA,NA
"4405",0.247,0.5165562914,24400,34100,0.0536398467,4899,0.394,NA,22900,NA,10700,NA,NA,NA
"6844",NA,0.519379845,NA,NA,0.0955414013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5314",0.195,0.5614457831,19800,27700,0.0580875782,NA,0.32,NA,18800,NA,10100,NA,NA,NA
"2496",0.026,0.2878200155,49200,64600,0.1224199288,NA,0.831,0.6543,43800,0.7824,31500,NA,0.74408410041841,0.74180354609929
"6705",0.206,0.5221782448,31300,42500,0.0562410035,NA,0.549,NA,23800,NA,14600,NA,NA,NA
"6899",NA,0.3882352941,NA,NA,0.1725888325,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6072",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,0,27500,0.4167,15200,NA,0.25,NA
"1497",0.126,0.4874371859,21000,NA,0.0829493088,NA,0.313,NA,NA,NA,NA,NA,NA,NA
"16",0.162,0.4584545748,26900,36700,0.1101156069,6675,0.467,NA,25400,NA,13400,9798,NA,NA
"4852",0.216,0.5071770335,23500,32900,0.1020408163,23235,0.409,NA,22100,NA,12800,28910,NA,NA
"6477",0.17,0.4874431058,37100,51300,0.0858097415,NA,0.611,NA,26300,NA,17200,NA,NA,NA
"2548",0.046,0.2937869822,46700,64500,0.1464728056,NA,0.743,0.3645,46400,0.5425,24500,NA,0.53217970187123,0.55417609531129
"4050",0.194,0.5623486683,22000,31300,0.048617306,NA,0.401,NA,20200,NA,10100,NA,NA,NA
"4004",0.132,0.467282107,30800,42400,0.1044094128,6804,0.55,NA,29000,NA,13800,11815,NA,NA
"6384",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.219,0.5605658709,25500,35200,0.0995405819,6922,0.459,NA,22900,NA,12500,10627,NA,NA
"1503",0.121,0.4034766697,34200,45700,0.1390153082,9370,0.622,0.1636,31900,0.439,18500,12510,0.39694986105597,0.42374396039603
"4037",0.022,0.1953232462,45700,62700,0.1605177994,NA,0.76,0.6016,48900,0.7969,25600,NA,0.77180284477427,0.7503538095238
"2350",NA,0.5113636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4571",NA,0.5338983051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6525",0.088,0.564753004,20000,28300,0.0266666667,NA,0.335,NA,18700,NA,9700,NA,NA,NA
"60",NA,0.5795513824,25400,35700,NA,7848,0.428,NA,23400,NA,12200,12178,NA,NA
"1904",0.074,0.328100471,27600,36700,0.1255172414,NA,0.519,NA,23900,NA,15700,NA,NA,NA
"3584",NA,0.7170731707,23800,31100,NA,7195,0.408,NA,NA,NA,14400,NA,NA,NA
"7584",0.214,0.541427827,17700,25400,0.041285956,NA,0.258,NA,16700,NA,6800,NA,NA,NA
"6860",0.182,0.5535211268,19300,27300,0.0764705882,NA,0.327,NA,18300,NA,9800,NA,NA,NA
"2390",0.213,0.5538171691,23000,31600,0.0558375635,NA,0.399,NA,19400,0.3333,10300,NA,0.13615617021276,NA
"3396",0.129,0.3825757576,29700,37400,0.2376068376,NA,0.566,0.3186,28400,0.5,17500,NA,0.35148588235294,0.35861376262626
"4811",0.073,0.3804779412,NA,NA,0.1459797818,8612,NA,0.422,NA,0.6392,NA,13562,0.57193591731266,0.56023979591836
"4690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6041",0.116,0.5628036086,NA,NA,0.0489795918,NA,NA,NA,NA,1,NA,NA,0.7667,NA
"6091",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,0,28600,0,21400,NA,NA,NA
"2020",NA,0.5393258427,30500,NA,NA,3816,0.607,NA,NA,NA,NA,NA,NA,NA
"3863",0.058,0.3849926435,37600,51600,0.1694813028,10812,0.664,0.1212,36100,0.3649,19400,13537,0.34636350841057,0.524186083499
"1779",0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6415",0.281,0.623853211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6974",0.11,0.4136125654,NA,NA,0.0715883669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4699",NA,0.511627907,18900,26100,NA,NA,0.269,NA,NA,NA,9600,NA,NA,NA
"75",0.086,0.5967578521,29100,40800,0.0828323313,NA,0.546,NA,25300,NA,13400,NA,NA,NA
"5419",0.214,0.6188197767,23100,31800,0.0452961672,NA,0.425,NA,17800,NA,10200,NA,NA,NA
"2266",0.11,0.5435992579,18800,26400,0.0545718433,NA,0.301,NA,16200,NA,8400,NA,NA,NA
"3150",0.301,0.5319548872,26500,34900,0.090765588,8338,0.424,NA,25300,NA,11600,12768,NA,NA
"4849",0.078,0.524691358,17000,23700,0.067357513,NA,0.223,NA,17100,NA,7700,NA,NA,NA
"6343",0.023,0.4328358209,NA,NA,0.1880733945,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7563",0.128,0.5663651468,NA,NA,0.053074166,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4704",0.104,0.6766420521,28700,39900,0.0470829069,NA,0.498,NA,21700,NA,11400,NA,NA,NA
"5797",0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6973",0.212,0.6014551334,NA,NA,0.0225251926,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3143",0.245,0.5324151831,23800,33500,0.0697028603,9762,0.395,NA,21700,NA,9000,12448,NA,NA
"4056",0.073,0.3413098237,34500,46500,0.1974148061,NA,0.564,0.2994,30500,0.4577,16300,NA,0.45481580645161,0.45383579335793
"5264",0.027,0.2709582834,45600,59300,0.1491414964,9862,0.781,0.2946,43400,0.4961,27100,13462,0.50783910112359,0.50422661064425
"5964",0.132,0.5099347495,35400,47400,0.0733325573,NA,0.659,NA,30800,NA,20000,NA,NA,NA
"2392",0.051,NA,24600,NA,NA,NA,0.468,NA,NA,NA,NA,NA,NA,NA
"519",0.061,0.3481624758,33100,42000,0.1703204047,NA,0.607,NA,30700,NA,16400,NA,NA,NA
"5008",0.183,0.5770750988,20500,29700,NA,NA,0.333,NA,NA,NA,10100,NA,NA,NA
"5167",0.137,NA,NA,NA,NA,9397,NA,NA,NA,NA,NA,10247,NA,NA
"5095",NA,0.4798099762,28000,40700,NA,8687,0.57,NA,NA,NA,12400,NA,NA,NA
"5204",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,NA,27500,0.4516,15200,NA,0.32556279069767,NA
"3624",0.106,0.4351606805,28900,37900,0.158719346,7944,0.555,0.2018,25800,0.4958,16800,12114,0.46748969627066,0.51091711229946
"4382",0.133,0.6241610738,29100,40000,NA,NA,0.55,0.6,27000,0.4386,16700,NA,0.4815,NA
"3154",0.194,0.5623486683,22000,31300,0.048617306,NA,0.401,NA,20200,NA,10100,NA,NA,NA
"51",0.075,0.3543979505,33900,45100,0.1435614277,14327,0.616,0.1538,32100,0.4038,17900,18436,0.35899086666666,0.4277332928311
"5657",0.164,0.5967365967,29000,40000,0.0549273021,NA,0.522,NA,24300,NA,13800,NA,NA,NA
"6809",0.07,0.3930510315,38800,50700,0.1386827458,NA,0.72,NA,30000,NA,23200,NA,NA,NA
"2482",0.034,NA,34700,38700,0.1272727273,NA,0.443,0.7966,NA,0.8214,7200,NA,0.85717142857142,0.91667058823529
"5693",0.222,0.5541044776,20300,30800,0.0328358209,NA,0.362,NA,NA,NA,7800,NA,NA,NA
"4882",NA,0.4954545455,16000,25300,NA,11591,0.258,NA,NA,NA,3300,NA,NA,NA
"3477",0.01,0.1783854167,78700,96000,0.0536398467,NA,0.912,NA,89100,NA,51000,NA,NA,NA
"1480",0.183,0.5248143346,28300,38700,0.0589586524,7787,0.494,NA,26400,NA,14100,12156,NA,NA
"2835",0.258,0.5141579732,28200,38100,0.163434903,5354,0.432,NA,23800,NA,12100,8333,NA,NA
"2722",0.184,0.3529411765,25900,33400,0.1829393628,NA,0.488,0.2901,24000,0.412,15400,NA,0.37523361629881,0.42093847619047
"221",0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5807",0.175,0.4823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7428",0.171,0.5737942455,22900,31100,0.0610855879,NA,0.404,NA,19600,NA,11500,NA,NA,NA
"7358",0.215,0.5744360902,NA,NA,0.0683856502,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1646",0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3419",0.156,0.450845119,27300,37400,0.1506313891,3456,0.483,NA,24500,NA,13200,6982,NA,NA
"4359",NA,0.6,16100,23900,NA,5981,0.207,NA,NA,NA,6000,NA,NA,NA
"1002",NA,0.7777777778,17900,24500,NA,NA,0.242,NA,NA,NA,10300,NA,NA,NA
"5961",0.253,0.4570059205,25300,34400,0.0679151625,NA,0.449,0.5238,22900,0.4444,12800,NA,0.33846153846153,NA
"126",0.147,0.5960591133,34400,46100,0.1890756303,NA,0.566,0,23700,0.0238,14500,NA,0.14281948051948,0.03559589041095
"4333",0.111,0.5525291829,NA,NA,0.1006944444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5563",0.047,0.3790322581,NA,NA,0.1338028169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3718",0.201,0.5407949791,29400,41900,0.1092057762,2319,0.494,NA,26200,NA,13000,7152,NA,NA
"3054",0.139,0.4347551343,31000,38600,0.1596445973,7424,0.605,0.1319,29800,0.3327,17600,11940,0.30215819032761,0.31977180700094
"1360",0.172,0.4534482759,26300,33500,0.1163859112,4372,0.428,NA,25300,NA,12400,8202,NA,NA
"5743",0.152,0.6068111455,28200,38400,0.0745814307,NA,0.516,0.2198,24600,0.6667,12800,NA,0.29631746031746,NA
"6777",0.181,0.5100738751,30300,40400,0.060199005,NA,0.562,NA,27500,NA,16200,NA,NA,NA
"1724",0.137,NA,23200,NA,NA,NA,0.386,NA,NA,NA,NA,NA,NA,NA
"3960",0.047,0.1872659176,30300,41100,0.1779359431,NA,0.574,0.6212,NA,0.6786,15900,NA,0.609989,0.66306765498652
"2452",0.056,0.2859304085,39300,53400,0.1308882907,12442,0.71,NA,35700,0.7611,20600,16110,0.72350473128158,NA
"4795",NA,NA,19500,NA,NA,NA,0.158,0,NA,0.4333,NA,NA,0.40841126760563,0.27584827586206
"72",0.11,0.5735110371,19700,27900,0.0646733832,NA,0.325,NA,17700,NA,9000,NA,NA,NA
"4156",0.098,0.4140127389,20400,NA,0.1147540984,NA,0.317,NA,NA,NA,NA,NA,NA,NA
"2917",0.134,0.6034115139,30000,41400,0.1175373134,5427,0.581,NA,27300,NA,17100,NA,NA,NA
"2526",0.116,0.4520440252,31100,42700,0.0824411135,NA,0.519,0.1706,23200,0.3846,11400,NA,0.27352620320855,0.30186839113132
"3100",0.212,0.4521002211,30100,40100,0.1242547851,4968,0.541,NA,26800,NA,14200,8633,NA,NA
"4283",0.084,0.53078203,26300,35700,0.1449275362,8288,0.458,NA,24800,NA,11600,11724,NA,NA
"7315",0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2026",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5285",0.122,0.5966555184,30000,40300,0.0784503632,NA,0.524,0.3285,25500,0.4231,13900,NA,0.39591448979591,0.42353333333333
"2058",0.182,0.469378891,27200,37600,0.1026235509,7954,0.506,NA,24300,NA,13900,11003,NA,NA
"7314",0.221,0.5448916409,16700,21500,0.0634573304,NA,0.18,NA,15800,NA,7400,NA,NA,NA
"3522",NA,0.4373040752,18300,27600,NA,2985,0.307,0.0154,17700,0.25,6100,NA,0.13094584382871,0.03169954751131
"3097",0.252,0.4975903614,27900,36500,0.1269685039,11097,0.484,NA,25100,NA,13600,14270,NA,NA
"7529",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,NA,21400,NA,NA,NA
"7587",0.107,0.5959221501,23200,30800,0.0305429864,NA,0.382,NA,22400,NA,11300,NA,NA,NA
"7115",0.126,0.4997422915,NA,NA,0.1032971929,NA,NA,0.2143,NA,0.3333,NA,NA,0.2974911392405,0.22297297297297
"4808",0.072,NA,18200,NA,NA,NA,0.329,NA,NA,NA,NA,NA,NA,NA
"5195",0.006,0.2866666667,42400,54000,0.1424050633,14252,0.83,NA,38800,NA,30900,NA,NA,NA
"405",0.242,0.5654697135,18300,26200,0.0642784553,NA,0.267,NA,17900,NA,7800,NA,NA,NA
"594",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3994",0.203,0.4355021537,30300,40900,0.1104832424,7561,0.542,NA,27200,NA,14500,13063,NA,NA
"7394",0.132,0.4770592608,30500,41000,0.0880148758,NA,0.549,NA,26300,NA,15200,NA,NA,NA
"128",0.232,0.4919203307,27000,35500,0.0862911104,7108,0.45,NA,25600,NA,12100,10387,NA,NA
"5653",NA,0.5813953488,15000,NA,NA,NA,0.182,NA,NA,NA,NA,NA,NA,NA
"716",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2148",0.179,NA,16400,NA,NA,NA,0.191,NA,NA,NA,NA,NA,NA,NA
"3405",0.137,0.3547619048,27000,35800,0.1506550218,NA,0.479,0.4218,26000,0.5049,14200,NA,0.44749691358024,0.51182230971128
"5171",0.205,NA,NA,NA,NA,4646,NA,NA,NA,NA,NA,NA,NA,NA
"3969",0.017,0.1716514954,50800,64800,0.1451917033,17863,0.777,0.8742,48500,0.9508,26700,23515,0.93615419424349,0.94200631681243
"5835",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,0.25,27500,0.2581,15200,NA,0.29128155339805,NA
"189",0.18,0.4311172036,31100,40900,0.120123839,10150,0.572,0.1815,28500,0.3665,16800,13208,0.30206666666666,0.3664659090909
"958",0.118,0.4282917279,34400,45300,0.1031712474,4415,0.593,NA,33200,NA,16700,8557,NA,NA
"3289",0.125,0.5415896488,30800,43300,0.1065830721,NA,0.564,NA,26200,NA,14800,NA,NA,NA
"3596",NA,0.575862069,26600,36200,NA,9618,0.571,NA,NA,NA,13100,NA,NA,NA
"2869",NA,0.6836734694,21300,NA,NA,2253,0.302,NA,NA,NA,NA,NA,NA,NA
"678",0.04,0.4032163743,35800,46500,0.1539269766,14741,0.683,0.2275,33700,0.5517,21700,18378,0.51125555131629,0.48251587133262
"2199",0.045,0.2682060391,36200,44700,0.1943048576,NA,0.742,0.367,NA,0.4954,24100,NA,0.51986488340192,0.558036
"3389",0.041,0.4567901235,52100,61900,0.1734104046,NA,0.9,NA,NA,NA,45000,NA,NA,NA
"6752",0.246,0.6605664488,22100,30700,0.0457113508,NA,0.339,NA,20500,NA,9600,NA,NA,NA
"7455",0.109,0.4429472477,29200,40300,0.138946281,NA,0.515,NA,23200,NA,13800,NA,NA,NA
"6733",0.141,0.5118692592,20300,27900,0.0624194987,NA,0.322,NA,17300,NA,10400,NA,NA,NA
