"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"1429",0.3648960739,29700,38200,0.169527897,9624.65620094192,0.572,0.3699
"5126",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0.1379
"6090",0.5783227848,23500,31600,0.0492424242,9624.65620094192,0.382,0.326050843593251
"5548",0.5214854804,41600,54700,0.0731064995,9624.65620094192,0.697,0.25
"6291",0.3804213135,29500,38800,0.1384120172,9624.65620094192,0.571,0.326050843593251
"4958",0.590778098,23600,32400,0.0542231491,9624.65620094192,0.428,0.326050843593251
"4237",0.4889053254,14400,18700,0.0217640321,9624.65620094192,0.134,0.326050843593251
"4058",0.47186444148188,26100,40187.6009768927,0.1603773585,9624.65620094192,0.439,0.5143
"179",0.5285087719,24200,34000,0.0689338235,3773,0.434,0.326050843593251
"5303",0.6373003606,20200,28400,0.045880777,9624.65620094192,0.328,0.326050843593251
"3656",0.2083228247,40200,53500,0.1535319558,9624.65620094192,0.735,0.5465
"3352",0.2257993385,40900,52800,0.1641791045,16954,0.725,0.3283
"541",0.47186444148188,26400,40187.6009768927,0.2281879195,9624.65620094192,0.515,0.6292
"761",0.3980191642,30900,41900,0.0942643042,9624.65620094192,0.535,0.4906
"2419",0.4385080645,27100,36900,0.1621499548,7004,0.46,0.326050843593251
"3966",0.1848811356,47600,62900,0.1486129458,19691,0.813,0.6134
"5062",0.5100738751,30300,40400,0.060199005,9624.65620094192,0.562,0.326050843593251
"3110",0.3025682183,37500,50300,0.2092494314,9624.65620094192,0.66,0.5087
"6978",0.5893792072,23900,30100,0.073932441,9624.65620094192,0.48,0.326050843593251
"3508",0.3925925926,17900,25800,0.1184210526,9624.65620094192,0.265,0.326050843593251
"4972",0.4441558442,32100,43900,0.0667938931,9624.65620094192,0.53,0.326050843593251
"5852",0.6206896552,31700,43500,0.1283783784,9624.65620094192,0.633,0.326050843593251
"644",0.5497097242,36600,51300,0.1238235294,9624.65620094192,0.657,0.326050843593251
"6407",0.5118692592,20300,27900,0.0624194987,9624.65620094192,0.322,0.326050843593251
"2547",0.6101694915,29900,40187.6009768927,0.112368633963963,18194,0.63,0.326050843593251
"3635",0.1300639659,62500,73300,0.1680412371,9624.65620094192,0.81,0.8756
"2975",0.2048364154,32300,41300,0.1723202171,9624.65620094192,0.619,0.6011
"7324",0.5654697135,18300,26200,0.0642784553,9624.65620094192,0.267,0.326050843593251
"3314",0.3053052326,40900,54600,0.1578042283,9624.65620094192,0.718,0.326050843593251
"5431",0.4945054945,28900,37800,0.0775862069,9624.65620094192,0.48,0.326050843593251
"3049",0.4621212121,31000,40187.6009768927,0.1623376623,9624.65620094192,0.6,0.25
"2480",0.4636118598,25700,33600,0.1398188263,6074,0.435,0.326050843593251
"5769",0.6718680339,18000,24000,0.0268997983,9624.65620094192,0.221,0.326050843593251
"1545",0.5022376927,23600,32800,0.1219954649,10864,0.428,0.0173
"1825",0.3996598639,29200,37800,0.1606864275,9624.65620094192,0.541,0.2476
"449",0.5115303983,25500,34400,0.0774246129,9624.65620094192,0.48,0.326050843593251
"4889",0.4972857507,33100,44700,0.0815370778,9624.65620094192,0.578,0
"5927",0.435723115,22200,31100,0.1076923077,9624.65620094192,0.358,0.326050843593251
"3464",0.587863464,14700,21000,0.0210420842,6468,0.173,0.326050843593251
"3120",0.5034129693,18200,40187.6009768927,0.0886426593,9624.65620094192,0.293,0.326050843593251
"4978",0.4380165289,23500,31900,0.112368633963963,9624.65620094192,0.48,0.326050843593251
"2686",0.4015670911,25300,33000,0.117746005,9624.65620094192,0.483,0.1464
"2055",0.3574647887,36200,46300,0.1597526411,9624.65620094192,0.682,0.2917
"4814",0.4944751381,24900,32500,0.1011235955,9624.65620094192,0.428,0.326050843593251
"3632",0.4532019704,32700,41000,0.1507311586,9624.65620094192,0.633,0.2127
"7413",0.5088692224,27500,37600,0.1009533566,9624.65620094192,0.512,0.326050843593251
"5556",0.35,24400,32800,0.1464285714,9624.65620094192,0.452,0.326050843593251
"2708",0.4545454545,21700,29300,0.0737033667,8253,0.369,0.326050843593251
"3275",0.2995780591,40000,49100,0.1875,9624.65620094192,0.77,0.6987
"1125",0.4757281553,25800,36100,0.112368633963963,6471,0.432,0.326050843593251
"5429",0.6060762101,22400,29200,0.0324650812,9624.65620094192,0.367,0.326050843593251
"7522",0.563012489,31700,42200,0.0853232382,9624.65620094192,0.563,0.326050843593251
"3758",0.578262889,24000,32000,0.0843833524,6230,0.392,0.326050843593251
"3672",0.4372427984,27400,40900,0.1095280499,9624.65620094192,0.452,0.326050843593251
"1315",0.45,22300,30900,0.112368633963963,9624.65620094192,0.4,0.326050843593251
"3440",0.2006615215,43100,56400,0.1547491996,9624.65620094192,0.789,0.6385
"3874",0.47186444148188,24800,29800,0.1111111111,9624.65620094192,0.336,0.4699
"1573",0.35,51000,68600,0.1225806452,9624.65620094192,0.735,0.2051
"1733",0.4163319946,44000,62000,0.1448763251,9624.65620094192,0.737,0.5274
"4354",0.4874431058,37100,51300,0.0858097415,9624.65620094192,0.611,0.1176
"584",0.3659793814,31100,42800,0.0631067961,9624.65620094192,0.565,0.326050843593251
"270",0.6605664488,22100,30700,0.0457113508,9624.65620094192,0.339,0.326050843593251
"4866",0.5099347495,35400,47400,0.0733325573,9624.65620094192,0.659,0.1842
"4527",0.6498316498,21400,30100,0.05907173,9624.65620094192,0.394,0.326050843593251
"7453",0.4429472477,29200,40300,0.138946281,9624.65620094192,0.515,0.326050843593251
"3840",0.4373040752,26700,35000,0.1288088643,9624.65620094192,0.48,0.5
"4549",0.5309236948,21800,29800,0.102970297,9624.65620094192,0.386,0.326050843593251
"1807",0.5160706832,26900,37300,0.0591993186,3969,0.449,0.326050843593251
"1952",0.2748655914,44300,59200,0.1838509317,9624.65620094192,0.779,0.5461
"3421",0.3804523425,43800,57000,0.1870286576,9624.65620094192,0.723,0.4454
"1324",0.1546391753,37600,46700,0.2081005587,9624.65620094192,0.776,0.6477
"5643",0.5416670368,39500,52600,0.0773824334,9624.65620094192,0.639,0
"794",0.5290456432,27500,38000,0.112368633963963,10729,0.462,0.326050843593251
"6531",0.6543949772,19100,24800,0.036944494,9624.65620094192,0.247,0.326050843593251
"4643",0.4170212766,40300,55800,0.0931034483,9624.65620094192,0.705,0.326050843593251
"2483",0.5313653137,28100,38400,0.0927536232,9624.65620094192,0.55,0.326050843593251
"3422",0.4115755627,27600,37300,0.1651917404,9624.65620094192,0.521,0.2874
"3778",0.7063758389,21300,25400,0.112368633963963,9624.65620094192,0.261,0.326050843593251
"1366",0.3779816514,36200,46800,0.2133333333,9624.65620094192,0.704,0.313
"3998",0.4474327628,46200,63500,0.0673913043,9624.65620094192,0.725,0.326050843593251
"569",0.5340798442,29500,40100,0.1236185018,9486,0.559,0.326050843593251
"2096",0.225250501,44000,57600,0.1347384268,9624.65620094192,0.785,0.5819
"1605",0.3621288083,28600,39200,0.151616128,15926,0.549,0.1182
"2149",0.4494314782,50600,65900,0.1863905325,9624.65620094192,0.802,0.1471
"6751",0.6382871537,16200,23500,0.0231232182,9624.65620094192,0.218,0.326050843593251
"3366",0.4634146341,47200,61300,0.2067669173,9624.65620094192,0.805,0.326050843593251
"5882",0.5607371192,19500,27400,0.0486768134,9624.65620094192,0.308,0.326050843593251
"3115",0.2911392405,47500,66100,0.1738396624,9624.65620094192,0.783,0.6118
