"","x"
"1083",0.329
"1084",0
"1085",0.037
"1086",0.3
"1087",0.181
"1088",0.142
"1089",0.153
"1090",0.006
"1091",0.078
"1092",0.064
"1093",0.094
"1094",0.103
"1095",0.027
"1096",0.205
"1097",0.017
"1098",0.052
"1099",0.055
"1100",0.076
"1101",0.07
"1102",0.017
"1103",0.177
"1104",0.105
"1105",0.021
"1106",0.036
"1107",0.082
"1108",0.03
"1109",0.096
"1110",0.179
"1111",0.069
"1112",0.016
"1113",0.062
"1114",0.066
"1115",0.073
"1116",0.063
"1117",0.088
"1118",0.031
"1119",0.042
"1120",0.023
"1121",0.032
"1122",0.1
"1123",0.258
"1124",0.086
"1125",0.008
"1126",0.014
"1127",0.109
"1128",0.236
"1129",0.02
"1130",0.212
"1131",0.029
"1132",0.045
"1133",0.084
"1134",0.087
"1135",0.02
"1136",0.129
"1137",0.129
"1138",0.237
"1139",0.18
"1140",0.093
"1141",0.246
"1142",0.222
"1143",0.18
"1144",0
"1145",0.308
"1146",0.105
"1147",0.039
"1148",0.138
"1149",0.21
"1150",0.032
"1151",0.185
"1152",0.16
"1153",0.1
"1154",0.012
"1155",0.061
"1156",0.037
"1157",0.025
"1158",0.07
"1159",0.223
"1160",0.045
"1161",0.038
"1162",0.045
"1163",0.153
"1164",0.203
"1165",0.04
"1166",0.026
"1167",0.183
"1168",0.102
"1169",0.004
"1170",0.05
"1171",0.021
"1172",0.088
"1173",0.039
"1174",0.05
"1175",0.156
"1176",0.087
"1177",0.038
"1178",0.224
"1179",0.202
"1180",0.052
"1181",0.116
"1182",0.043
"1183",0.078
"1184",0.126
"1185",0.04
"1186",0
"1187",0.058
"1188",0.205
"1189",0.158
"1190",0.18
"1191",0.053
"1192",0.167
"1193",0.031
"1194",0.132
"1195",0.071
"1196",0.18
"1197",0.18
"1198",0.088
"1199",0.129
"1200",0
"1201",0.164
"1202",0.179
"1203",0.137
"1204",0.035
"1205",0.083
"1206",0.084
"1207",0.157
"1208",0.089
"1209",0.07
"1210",0.183
"1211",0.064
"1212",0.029
"1213",0.079
"1214",0.147
"1215",0.085
"1216",0.041
"1217",0.039
"1218",0.162
"1219",0.07
"1220",0.172
"1221",0.156
"1222",0.142
"1223",0.111
"1224",0.044
"1225",0.065
"1226",0.222
"1227",0.053
"1228",0.063
"1229",0.118
"1230",0.129
"1231",0.092
"1232",0.102
"1233",0.069
"1234",0.09
"1235",0.054
"1236",0.088
"1237",0.136
"1238",0.148
"1239",0.076
"1240",0.076
"1241",0.085
"1242",0.121
"1243",0.05
"1244",0.174
"1245",0.136
"1246",0.055
"1247",0.05
"1248",0.091
"1249",0.076
"1250",0.118
"1251",0.21
"1252",0.066
"1253",0.203
"1254",0.14
"1255",0.038
"1256",0.028
"1257",0.276
"1258",0.06
"1259",0.041
"1260",0.095
"1261",0.129
"1262",0.307
"1263",0.103
"1264",0.154
"1265",0.241
"1266",0.015
"1267",0.131
"1268",0.181
"1269",0.089
"1270",0.062
"1271",0.117
"1272",0.261
"1273",0.027
"1274",0.055
"1275",0.126
"1276",0.329
"1277",0.139
"1278",0.225
"1279",0.205
"1280",0.325
"1281",0.251
"1282",0.087
"1283",0.25
"1284",0.11
"1285",0.153
"1286",0.22
"1287",0.104
"1288",0.055
"1289",0.131
"1290",0.17
"1291",0.12
"1292",0.177
"1293",0.074
"1294",0.049
"1295",0.184
"1296",0.296
