"","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT"
"656",0.112368633963963,0.480045994415067,3200,0.294,0.477957436517533,13560.7976040353,16758.9995218743
"657",0.0697028009,0.47865726495726,4800,0.436,0.4537,13560.7976040353,15580
"658",0.0996835443,0.480045994415067,6770.71801819237,0.333,0.477957436517533,13560.7976040353,16758.9995218743
"659",0.1432670237,0.52322143238909,9800,0.7,0.5519,16883,20789
"660",0.171009772,0.31983765182186,11900,0.753,0.2778,13560.7976040353,23132
"661",0.1349522293,0.43370039880358,10300,0.723,0.4611,13560.7976040353,26700
"662",0.1,0.40207110125646,4400,0.432,0.3991,13103,11434
"663",0.0225251926,0.42267834394904,3300,0.34,0.443,13560.7976040353,13968
"664",0.1659324523,0.50686842105263,7600,0.634,0.5495,13560.7976040353,26274
"665",0.074123876,0.34642299163586,6400,0.549,0.3358,6898,8612
"666",0.1113768364,0.3384,4000,0.451,0.3384,10058,12032
"667",0.0881670534,0.3227544950495,5100,0.439,0.3341,10802,10875
"668",0.0928814775,0.2871534108937,6100,0.5,0.2714,12135,12272
"669",0.1497461929,0.6538722027972,8300,0.55,0.6584,13560.7976040353,40040
"670",0.138547486,0.68959484327603,7200,0.652,0.7112,13560.7976040353,43080
"671",0.1062318373,0.45338837696335,10800,0.706,0.4489,13560.7976040353,20420
"672",0.0974199915,0.31082877934272,5000,0.523,0.3318,12364,11524
"673",0.1060321134,0.53220701516793,6200,0.519,0.6114,12057,9165
"674",0.0733325573,0.480045994415067,7900,0.659,0.6667,13560.7976040353,13663
"675",0.1096888334,0.36970483731644,5000,0.511,0.3838,12720,11456
"676",0.1186271243,0.40855578790141,5200,0.508,0.4088,13560.7976040353,10668
"677",0.0830271859,0.42605900439238,4000,0.475,0.3866,9939,11869
"678",0.1406677614,0.65233613984548,9900,0.67,0.6719,15103,17324
"679",0.1183932347,0.35566004618937,10100,0.689,0.327,13560.7976040353,27150
"680",0.112368633963963,0.480045994415067,7300,0.465,0.477957436517533,13560.7976040353,16100
"681",0.1518691589,0.62518594548551,11000,0.656,0.611,13560.7976040353,40040
"682",0.1797101449,0.40333420074349,8500,0.569,0.4247,13560.7976040353,22202
"683",0.0618556701,0.480045994415067,2800,0.223,0.477957436517533,13560.7976040353,16758.9995218743
"684",0.0942422596,0.480045994415067,4500,0.444,0.477957436517533,8846,8062
"685",0.0225251926,0.45684183736809,3100,0.37,0.522,13560.7976040353,14940
"686",0.0225251926,0.44360861450107,3200,0.303,0.4556,13560.7976040353,14940
"687",0.1482247501,0.61994722569879,11000,0.722,0.6238,13560.7976040353,26330
"688",0.112368633963963,0.480045994415067,3100,0.366,0.477957436517533,13560.7976040353,16758.9995218743
"689",0.1491525424,0.40408630136986,3800,0.417,0.413,13560.7976040353,10110
"690",0.1052631579,0.371,6770.71801819237,0.416,0.3226,13560.7976040353,14660
"691",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"692",0.094277881,0.42444752530933,6500,0.498,0.4446,11173,9383
"693",0.1164383562,0.40138450704225,10800,0.665,0.3767,13560.7976040353,18966
"694",0.1670644391,0.31447102473498,7200,0.568,0.3012,13560.7976040353,24034
"695",0.1150308408,0.27038979591836,7200,0.544,0.2574,13560.7976040353,10764
"696",0.1532358046,0.47167682801235,8800,0.604,0.5146,15365,19241
"697",0.1709613479,0.15991890118901,7800,0.512,0.1618,10172,9839
"698",0.1941489362,0.72612462311557,8200,0.478,0.7333,13560.7976040353,35982
"699",0.0421416235,0.480045994415067,4900,0.351,0.477957436517533,13560.7976040353,8930
"700",0.0421416235,0.480045994415067,4900,0.351,0.477957436517533,13560.7976040353,8450
"701",0.052559258,0.480045994415067,4100,0.343,0.477957436517533,6426,8751
"702",0.119315518,0.1383,6000,0.486,0.1383,10268,9428
"703",0.0942528736,0.41055,5400,0.458,0.3962,16493,15196
"704",0.1359516616,0.480045994415067,4900,0.342,0.477957436517533,13560.7976040353,14226
"705",0.1529754204,0.32224731442365,9000,0.646,0.3032,17443,15271
"706",0.0988575781,0.2199449484536,4900,0.468,0.2176,13560.7976040353,17596
"707",0.0795811518,0.480045994415067,3100,0.257,0.477957436517533,13560.7976040353,16758.9995218743
"708",0.1708428246,0.41557012987012,5000,0.436,0.3678,13560.7976040353,17650
"709",0.0559891415,0.10121698113207,4900,0.372,0.1129,15119,8984
"710",0.0707317073,0.480045994415067,3400,0.467,0.477957436517533,13560.7976040353,16758.9995218743
"711",0.1488321564,0.39893776,5000,0.474,0.4115,13560.7976040353,21334
"712",0.0588410104,0.480045994415067,4600,0.397,0.477957436517533,12839,4750
"713",0.0572347267,0.480045994415067,5800,0.332,0.477957436517533,7242,9100
"714",0.0569105691,0.22368738049713,2200,0.301,0.2131,13560.7976040353,13356
"715",0.1770114943,0.60814040609137,7300,0.582,0.6161,13560.7976040353,30530
"716",0.112368633963963,0.39394242424242,6770.71801819237,0.419,0.2105,13560.7976040353,9390
"717",0.1385799829,0.46002,8600,0.654,0.4659,13560.7976040353,24780
"718",0.1398416887,0.18206728395061,6600,0.467,0.1772,13560.7976040353,14200
"719",0.1018518519,0.480045994415067,3600,0.636,0.477957436517533,13560.7976040353,12900
"720",0.1375757576,0.16385909090909,4600,0.461,0.1547,14186,12566
"721",0.1078215643,0.480045994415067,5200,0.461,0.477957436517533,8960,4860
"722",0.1094868735,0.29442137850467,8600,0.617,0.3298,15405,15251
"723",0.1506973924,0.31329033175355,7600,0.571,0.3241,14219,15930
"724",0.0981399902,0.480045994415067,4500,0.427,0.477957436517533,9197,4810
"725",0.2601156069,0.57347903225806,6500,0.641,0.5655,13560.7976040353,30160
"726",0.1775200714,0.14980737273259,5600,0.5,0.1552,9646,12038
"727",0.112368633963963,0.480045994415067,4800,0.202,0.477957436517533,13560.7976040353,16758.9995218743
"728",0.0858097415,0.13113224043715,7600,0.611,0.0909,13560.7976040353,16360
"729",0.121322194,0.06807059859154,5900,0.465,0.0562,11140,11692
"730",0.1666666667,0.45487368421052,5900,0.496,0.4524,13560.7976040353,18170
"731",0.1416131989,0.89258222836095,12900,0.775,0.8892,13560.7976040353,45008
"732",0.152931181,0.0681,6300,0.524,0.0681,9573,8521
"733",0.1011433597,0.31118,5200,0.361,0.3175,19022,18954
"734",0.1464389535,0.81864319695528,19000,0.87,0.8154,14221,30698
"735",0.1672753835,0.33870024813895,8400,0.574,0.3206,14786,15163
"736",0.1541666667,0.61204536647009,9200,0.668,0.6126,18621,27308
"737",0.1579956188,0.50895467883925,9300,0.636,0.5132,18973,16487
"738",0.1400130548,0.53249006458966,8800,0.645,0.5334,19306,23186
"739",0.1674951671,0.83888063048767,11200,0.729,0.8462,14737,29046
"740",0.129379119,0.13325303717135,5300,0.452,0.1295,14682,9937
"741",0.0717218724,0.480045994415067,4700,0.442,0.477957436517533,10885,7221
"742",0.112368633963963,0.480045994415067,7800,0.469,0.477957436517533,13560.7976040353,10500
"743",0.112368633963963,0.480045994415067,2100,0.426,0.477957436517533,13560.7976040353,9925
"744",0.0926304065,0.480045994415067,5900,0.529,0.477957436517533,9284,4932
"745",0.1458540555,0.42983753753753,9500,0.667,0.4263,18896,15630
"746",0.1862745098,0.43949368421052,8300,0.577,0.5321,13560.7976040353,26620
"747",0.104,0.25809838709677,4400,0.601,0.2821,13560.7976040353,10500
"748",0.0754226268,0.20986296296296,7200,0.564,0.2105,13560.7976040353,13670
"749",0.1400367309,0.61051717337715,13000,0.759,0.626,13560.7976040353,33780
"750",0.1532091097,0.53323880825057,6900,0.577,0.5286,13560.7976040353,26090
"751",0.1088264794,0.480045994415067,3500,0.374,0.477957436517533,8166,4820
"752",0.1553398058,0.55791749408983,8800,0.613,0.5123,13560.7976040353,32500
"753",0.0868945869,0.1940056,4000,0.265,0.1777,13560.7976040353,13332
"754",0.1935914553,0.48447512953367,8800,0.62,0.5049,13560.7976040353,21350
"755",0.112368633963963,0.480045994415067,6770.71801819237,0.831,0.477957436517533,13560.7976040353,20015
"756",0.1645997745,0.32705727788279,6100,0.557,0.375,13560.7976040353,19196
"757",0.1391135555,0.66733671875,5600,0.501,0.6504,13560.7976040353,34295
"758",0.116108453,0.28143381674357,5200,0.403,0.2751,14434,15561
"759",0.1285583104,0.45710198019801,10900,0.686,0.4515,13560.7976040353,20250
"760",0.0659898477,0.480045994415067,17000,0.787,0.477957436517533,13560.7976040353,17115
"761",0.1719681909,0.70811701738334,8300,0.622,0.7407,13560.7976040353,25496
"762",0.15405097,0.35836163227016,10500,0.787,0.352,14245,17144
"763",0.1615120275,0.2241540229885,7200,0.571,0.1927,13560.7976040353,15750
"764",0.2085106383,0.49063056300268,5900,0.385,0.5226,13560.7976040353,19700
"765",0.2262931034,0.25232583586626,4900,0.448,0.2216,13560.7976040353,17400
"766",0.1577642551,0.39640316807738,9000,0.604,0.3913,16973,16459
"767",0.1308016878,0.56771875,2400,0.49,0.4762,13560.7976040353,20025
"768",0.1604704097,0.4180040146943,8900,0.626,0.4084,17479,16258
"769",0.1764705882,0.38154256198347,6600,0.515,0.4619,13560.7976040353,26386
"770",0.081955202,0.480045994415067,4100,0.519,0.477957436517533,13560.7976040353,13620
"771",0.1264786169,0.43515355648535,5600,0.567,0.4873,13560.7976040353,20940
"772",0.124300808,0.37462942884801,6200,0.564,0.3843,14471,19036
