"","x"
"108",0.9413067553
"109",0.2608695652
"110",0.1805324459
"111",0.1866666667
"112",0.4166666667
"113",0.7721518987
"114",0.25
"115",0.8039215686
"116",0.8557974048
"117",0.3867753623
"118",0.5849647612
"119",0.6645213194
"120",0.6406893004
"121",0.4625693161
"122",0.4549763033
"123",0.8023407022
"124",0.4288121314
"125",0.7699740749
"126",0.7601156069
"127",0.5555555556
"128",0.503030303
"129",0.3952164009
"130",0.519047619
"131",0.4054242003
"132",0.4754672897
"133",0.9104644656
"134",0.636977887
"135",0.8770301624
"136",0.5833333333
"137",0.7358490566
"138",0.9098805646
"139",0.4102564103
"140",0.5365853659
"141",0.5
"142",0.5666666667
"143",0.1894736842
"144",0.5291375291
"145",0.861167002
"146",0.6164772727
"147",0.4112676056
"148",0.6995305164
"149",0.6189856957
"150",0.3830734967
"151",0.5054945055
"152",0.4464023495
"153",0.3157894737
"154",0.3765652952
"155",0.503030303
"156",0.5826771654
"157",0.5657894737
"158",0.7664473684
"159",0.490990991
"160",0.5924137931
"161",0.4122137405
"162",0.6061688312
"163",0.5798368298
"164",0.4089440994
"165",0.4130434783
"166",0.4169741697
"167",0.5217391304
"168",0.408839779
"169",0.7612612613
"170",0.5694570822
"171",0.3900264201
"172",0.3017883756
"173",0.8866571019
"174",0.3596574691
"175",0.3381088825
"176",0.8917197452
"177",0.3770812929
"178",0.4383561644
"179",0.9397654584
"180",0.706744868
"181",0.7814814815
"182",0.6274509804
"183",0.4709507042
"184",0.8392857143
"185",0.6206896552
"186",0.8243948742
"187",0.8698412698
"188",0.9142280525
"189",0.9584178499
"190",0.8248175182
"191",0.7965305385
"192",0.8526398739
"193",0.7891711478
"194",0.9156353135
"195",0.8845507976
"196",0.7623282134
"197",0.8435269149
"198",0.8879071608
"199",0.8468741394
"200",0.8878772112
"201",0.8323408154
"202",0.8266033254
"203",0.8528052805
"204",0.9178213091
"205",0.9402238315
"206",0.9252991453
"207",0.934856176
"208",0.8712280702
"209",0.936051628
"210",0.9195360638
"211",0.9166137566
"212",0.6962025316
"213",0.5734190782
