"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"3229",0.47186444148188,13100,40187.6009768927,0.112368633963963,9624.65620094192,0.156,0.326050843593251
"3230",0.4257962503,29600,39100,0.1595679641,11325,0.549,0.1602
"3231",0.4944,49400,61100,0.1297602257,9624.65620094192,0.854,0.4314
"3232",0.1706503613,36200,45800,0.1449120938,9624.65620094192,0.642,0.5603
"3233",0.5483316133,35800,48200,0.1281296024,9624.65620094192,0.62,0.2127
"3234",0.4003407155,36800,48500,0.2175273865,9624.65620094192,0.658,0.4883
"3235",0.3377483444,30500,39200,0.1957894737,9624.65620094192,0.58,0.3626
"3236",0.4851891506,25900,35900,0.1074964639,8118,0.454,0.326050843593251
"3237",0.3407155026,34900,47800,0.1750380518,9624.65620094192,0.651,0.3278
"3238",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"3239",0.5193340494,24900,33500,0.1251771375,4688,0.459,0.326050843593251
"3240",0.4745693191,26700,36500,0.1514484782,6446,0.49,0.326050843593251
"3241",0.5268425842,19200,26000,0.0420328621,9624.65620094192,0.28,0.326050843593251
"3242",0.4252336449,34300,45400,0.2060085837,9624.65620094192,0.645,0.2216
"3243",0.221686747,34500,44500,0.1466768526,9624.65620094192,0.663,0.4482
"3244",0.5453744493,20600,28800,0.066951567,9624.65620094192,0.337,0.326050843593251
"3245",0.5531034483,25200,34700,0.1233689205,6149,0.449,0.326050843593251
"3246",0.4217018608,30900,40500,0.1649785742,14800,0.565,0.1967
"3247",0.6336336336,20600,27100,0.112368633963963,9624.65620094192,0.346,0.326050843593251
"3248",0.5510204082,16100,40187.6009768927,0.112368633963963,9624.65620094192,0.212,0.326050843593251
"3249",0.2848837209,28500,36400,0.1692708333,9624.65620094192,0.522,0.3178
"3250",0.3642384106,25800,33400,0.1963190184,9624.65620094192,0.481,0.2063
